Q,A
"좋아, 이제 테너들이야 첫 번째 척도의 네 번째 박자 - C. Con-fu-ta-tis. 두 번째 척도, 네 번째 박자 D. Ma-le-dic-tis. 알았니?",네
네,"네 번째 척도, 두 번째 박자 - F. Flam-mis a-cri-bus ad-dic-tis, flam-mis a-cri-bus ad-dic-tis."
이제 오케스트라. 베이스를 곁들인 두 번째 바순과 베이스 트롬본. 같은 음과 리듬. 첫 바순과 테너 트롬본 -,제발! 잠깐만 기다려.
이보다 더 간단할 수는 없다.,첫 바순과 테너 트롬본 - 뭐?
첫 바순과 테너 트롬본 - 뭐?,테너랑.
테너랑.,또 똑같아?
또 똑같아?,"바로 그거야 목소리에 어울리는 악기들. 트럼펫과 팀파니, 강장제와 지배자"
그게 다라고요?,"오 안돼, 이제 불을 위해. 일제히 끈을 - 모두 오스티나토 - 이렇게."
내가 있나?,그런 것 같아.
그런 것 같아.,보여줘
멋지다!,"그래, 그래 - 계속해. 보카 미. 갑자기 소토 voce. 소토보체, 피아니시모라고 적어. 베네딕티스라고 불러줘 나를 축복받은 사람들 가운데 불러라."
"C 소령. 소프라노와 알토스는 3분의 1이다. C에 알토스. 위에 소프라노. vo-ca, vo-ca me, vo-ca me cum-ne-dic-tis.",두 번째 '보카'에 소프라노가 F까지?
두 번째 '보카'에 소프라노가 F까지?,"네, 그리고 '독재'에."
"네, 그리고 '독재'에.",네!
그게 다야. 가지고 있니?,빨리 가!
빨리 가!,가지고 있니?
가지고 있니?,네
네,"그럼 내가 들어볼게. 전부 다. 처음부터, 지금 당장!"
좀 쉬고 싶으세요?,어떡해. 하나도 안 피곤해.
어떡해. 하나도 안 피곤해.,잠깐 멈추자. 그럼 우리가 라크리모사를 하겠네
잠깐 멈추자. 그럼 우리가 라크리모사를 하겠네,"난 계속 갈 수 있어, 장담해. 한번 해볼까?"
"난 계속 갈 수 있어, 장담해. 한번 해볼까?",내가 조금 잘 동안 같이 있어 줄래?
내가 조금 잘 동안 같이 있어 줄래?,난 널 떠나지 않을 거야.
난 널 떠나지 않을 거야.,너무 부끄럽다.
너무 부끄럽다.,뭐 때문이지요?
뭐 때문이지요?,나는 어리석었다. 나는 네가 내 일이나 나를 신경 쓰지 않는 줄 알았어. 용서하십시오. 용서해줘!
그래? 내가 본 적 있어?,"전- 그런 것 같지 않습니다, 소장님. 아직이요. 내 말은, 꽤 n-물론, 즉시 너에게 보여줄게."
"전- 그런 것 같지 않습니다, 소장님. 아직은 아니다. 내 말은, 꽤 n-물론, 즉시 너에게 보여줄게.",넌 그러는 게 좋겠어.
터키에서 말하는 거야?,바로 그거야
바로 그거야,그렇다면 왜 특별히 독일어로 해야 하는가?
그렇다면 왜 특별히 독일어로 해야 하는가?,뭐 특별히 그런 건 아니에요. 네가 정말 원한다면 터키어로도 돼. 상관없어.
"모차르트, 네가 생각하는 것이 핵심이 아니다. 중요한 것은 폐하께서 생각하시는 것이다.",하지만 폐하 -
"그럼 됐소, 모차르트!",어떻게 시작하는지 말해줄게.
"모차르트! 헤르 모차르트, 잠깐 얘기 좀 할까? 바로.","물론입니다, 허 감독님."
폐하께서 오페라에서 발레를 금지한 사실을 모르셨나요?,"그래, 하지만 이건 발레가 아니야. 이것은 피가로의 결혼식에서 추는 춤이다."
"그래, 하지만 이건 발레가 아니야. 이것은 피가로의 결혼식에서 추는 춤이다.",바로 그거야 춤.
바로 그거야 춤.,하지만 확실히 황제는 그것이 이야기의 일부일 때 춤을 금지하는 것을 의도하지는 않았다.
하지만 확실히 황제는 그것이 이야기의 일부일 때 춤을 금지하는 것을 의도하지는 않았다.,폐하의 칙령을 해석하는 것은 당신에게 위험하다. 점수를 주십시요.
"뭐 하는 거야, 허 감독관?",절대 넣지 말았어야 할 것을 꺼내는 것.
음악으로 그 장면을 다시 볼 수 있을까?,"그래, 물론이지. 물론입니다, 허 감독님!"
"이게 뭐지, 체임벌린?",뭔데?
